,latitude,longitude,date,float_id,temp_mean,temp_median,temp_std_dev,salinity_mean,salinity_max,pressure_max
140,-7.3519,63.9452,2025-01-02,b'1594                            ',7.16059,6.0625,4.5981197,34.811058,35.075,2005.92
142,22.93572,59.391403333333336,2025-01-02,b'AI2600-21FR123                  ',14.905057,13.883,5.7252445,35.942448,36.826,1291.8
143,-65.97829333860794,88.03678690794152,2025-01-02,b'10359                           ',-1.8796477,-1.88375,0.014130626,34.38627,34.4388,648.57
146,-34.3335,125.8528,2025-01-02,b'0906                            ',6.600709,4.445,4.493921,34.70974,35.6825,1980.44
147,-46.71007,111.9224,2025-01-02,b'7710                            ',5.3846498,4.0415,2.8543606,34.527664,34.79961,2013.56
149,-43.070793333333334,128.15849,2025-01-02,b'AI2600-23AU105                  ',6.162032,5.414,3.2109945,34.570538,34.873,2018.2
150,-35.941665,93.24628666666666,2025-01-02,b'AI2600-18DE010                  ',8.213948,8.019,4.820052,34.748547,35.175,2000.7
151,-60.596426666666666,101.13333833333333,2025-01-02,b'AI2600-22AU023                  ',1.3551534,1.412,0.47373536,34.64878,34.734,1989.3
152,-56.3369,142.7247,2025-01-02,b'1118                            ',2.1149158,2.276,0.5769723,34.44773,34.74193,2000.61
153,-40.9581,98.1555,2025-01-02,b'0797                            ',6.2573414,5.0985003,3.3051162,34.5775,34.913,1948.87
154,-31.616,88.698,2025-01-02,b'8869                            ',11.1512165,10.738,3.92983,34.95953,36.02087,1998.78
155,-15.141,107.812,2025-01-02,b'1051                            ',8.848213,6.1235,6.256425,34.731586,35.444,2000.21
156,-40.12891104312183,73.63371041948767,2025-01-02,b'8844                            ',6.180517,4.4315,3.7337127,34.63839,35.1439,1991.09
157,-25.8999,58.0255,2025-01-02,b'10078                           ',12.125791,11.437,4.6321926,35.028057,35.758,1799.64
158,-13.8639,105.2505,2025-01-02,b'0806                            ',7.328289,5.143,5.826014,34.68571,34.917,2001.26
159,-8.5117,101.013,2025-01-02,b'1048                            ',8.141394,5.807,6.194456,34.759853,35.193,1948.25
160,-0.2097,80.4113,2025-01-02,b'1499                            ',8.32461,6.577,5.798036,34.929237,35.209,1981.33
161,-48.4534,102.0354,2025-01-02,b'9547                            ',3.9473228,3.719,1.2557954,34.233284,34.74341,1900.03
162,-28.6856,50.2407,2025-01-02,b'1449                            ',13.127818,12.254,4.8160768,35.098835,35.6511,1801.82
163,0.8139,81.8142,2025-01-03,b'7024                            ',14.529789,11.79,9.131893,35.014652,35.238,1899.8
164,-30.3999,56.67184,2025-01-03,b'12047                           ',6.0392475,2.211,6.3590803,34.89452,35.728,5006.1
165,-28.7908,37.6232,2025-01-03,b'1214                            ',7.937988,5.658,5.765472,34.810436,35.556,2001.51
166,-59.95073706783766,116.89611136172948,2025-01-03,b'8849                            ',1.7884829,1.8288,0.4220531,34.61937,34.74839,1984.22
168,-25.181096666666665,88.00853333333333,2025-01-03,b'AI2600-18AU002                  ',7.509523,4.67,5.6118593,34.800606,35.8499,2009.7
169,-27.069074999999998,111.29873333333333,2025-01-03,b'P44043-22AU004                  ',14.171167,15.165,6.285351,35.274906,35.865,1972.2
170,-60.8224,139.48,2025-01-03,b'1088                            ',1.7067732,1.845,0.5897969,34.62645,34.749,2003.35
171,-43.32264833333333,140.494745,2025-01-03,b'P43208-20AU002                  ',10.500916,11.26,2.6155605,34.876244,35.03302,2003.3
172,-57.314083333333336,92.767855,2025-01-03,b'AI2600-22AU018                  ',1.6687038,1.7495,0.46228707,34.60486,34.735,1978.7
173,-60.465816497802734,123.90882873535156,2025-01-03,b'8839                            ',1.4282882,1.5527,0.5915729,34.640293,34.7402,2004.45
174,-42.3142,142.0284,2025-01-03,b'0801                            ',7.5619125,7.599,3.2446673,34.650352,35.15699,1998.46
175,5.8389,67.5745,2025-01-03,b'1490                            ',12.662196,10.777,5.818002,35.2143,35.749,1949.78
177,5.339378333333333,88.41834166666666,2025-01-03,b'AI2632-23DE005                  ',11.163063,8.833,8.076877,34.88425,35.205,2006.4
179,-30.66632166666667,86.45270833333333,2025-01-03,b'AI2600-23AU108                  ',7.6343274,5.625,4.9609394,34.779846,36.068,2020.9
181,-46.01336,110.52307,2025-01-03,b'8732                            ',6.1087847,4.94,3.1701105,28.176592,28.34056,2005.84
182,-56.51373,109.23033,2025-01-03,b'7455                            ',1.8341872,1.8740001,0.5132128,34.603218,34.744,2009.44
183,-49.875,125.41,2025-01-03,b'7169                            ',7.6278234,8.144,1.5610327,34.364223,34.4934,950.2
184,-42.49066,36.12800333333333,2025-01-03,b'AI2600-23DE006                  ',6.4337697,5.321,3.6128757,34.499985,34.771,2003.3
185,-57.43394333333333,52.51313666666667,2025-01-03,b'AI2600-22EU016                  ',1.8859385,2.037,0.5176953,34.37312,34.738,2004.9
186,-53.58076833333333,39.461236666666665,2025-01-03,b'AI2600-22EU018                  ',2.2235653,2.075,0.67380035,34.318398,34.6999,1986.1
187,-37.5065,38.633,2025-01-03,b'9197                            ',10.48823,10.464,4.363381,34.87265,35.5985,1998.09
188,-18.8714542388916,109.57868194580078,2025-01-03,b'8441                            ',7.555739,5.09245,6.1345196,34.783264,35.7509,1994.42
190,-56.11655,51.20108333333334,2025-01-03,b'AI2600-20DE031                  ',1.7914146,1.886,0.5900684,34.462864,34.735,2013.8
191,-38.5104,130.6774,2025-01-03,b'0905                            ',6.3985047,5.491,3.5774333,34.6237,34.998,2008.41
192,-48.603,143.451,2025-01-03,b'7328                            ',8.631724,9.241,1.5021033,34.559338,34.69508,1948.03
193,-34.517,130.933,2025-01-03,b'7634                            ',9.85967,9.2635,4.1469946,34.85697,35.76955,1397.62
194,-34.918,59.384,2025-01-03,b'8866                            ',11.456483,11.962999,3.383664,35.0089,35.4727,1998.99
195,-13.6535,92.1734,2025-01-03,b'0804                            ',7.9007993,5.4785004,6.352623,34.706295,35.1782,1998.29
196,12.933333333333334,89.81666666666666,2025-01-03,b'23006                           ',12.640254,8.743,9.278555,34.687065,35.037,1983.1
197,-31.41121,69.08694,2025-01-03,b'8503                            ',7.71794,6.007,5.098343,34.77772,35.756,2001.84
198,9.95,88.81666666666666,2025-01-03,b'23008                           ',12.141,8.477,9.249032,34.677273,35.036,2028.7
199,-34.0711,76.1978,2025-01-03,b'0925                            ',7.4620547,6.233,4.542391,34.729637,35.584,2002.32
202,-1.0,78.35,2025-01-03,b'24014                           ',11.739726,8.3925,8.868389,34.895676,35.217,1977.2
203,2.6166666666666667,80.11666666666666,2025-01-03,b'24002                           ',12.123756,8.59,9.21845,34.91512,35.256,2004.0
204,10.866666666666667,88.06666666666666,2025-01-03,b'23007                           ',12.488211,8.4845,9.420799,34.70485,35.044,2002.8
205,-13.6,87.41666666666667,2025-01-03,b'23035                           ',11.387259,6.939,9.314061,34.403515,34.97387,2026.9
206,-9.683333333333334,80.38333333333334,2025-01-03,b'23034                           ',11.412865,6.912,9.699536,34.669224,34.941,2003.7
210,-50.31083,42.977756666666664,2025-01-03,b'AI2600-23DE008                  ',2.5803578,2.356,0.80195546,34.369312,34.758,1995.6
211,-36.6864,24.3502,2025-01-03,b'1061                            ',9.692776,8.6885,5.479173,34.899086,35.625,1948.69
212,-34.91,108.731,2025-01-03,b'35                              ',4.533035,2.5205,4.319327,29.889456,30.78246,4025.04
213,3.211,85.873,2025-01-03,b'P32826-19CH029                  ',12.256911,8.411,9.452553,34.90887,35.166,1982.5
214,-54.5015,47.3139,2025-01-03,b'9007                            ',2.0068579,2.1104,0.4131527,34.51651,34.7448,1993.0
215,-41.4951,39.4916,2025-01-03,b'9707                            ',8.595387,8.144,3.462019,34.661816,35.20696,1598.57
216,-66.52536833333333,110.30723166666667,2025-01-03,b'AI2600-24AU023                  ',-1.7719721,-1.862,0.35557723,34.488796,34.576,1985.6
217,-25.64,81.329,2025-01-03,b'6374                            ',13.267615,11.562,5.551987,35.134693,35.81633,1997.46
218,-56.2251,89.3129,2025-01-03,b'9415                            ',2.0542457,2.108,0.37646353,34.48479,34.74129,1499.59
219,-8.6728,60.6692,2025-01-03,b'1595                            ',7.2377048,6.077,4.3823056,34.810814,35.119,2004.49
220,-47.603385,29.917828333333333,2025-01-03,b'AI2600-21EU013                  ',5.089885,4.668,2.2661784,34.36438,34.749,2015.9
221,-61.34,137.225,2025-01-03,b'8692                            ',1.8697664,2.0875,0.6083291,34.52926,34.74278,1999.23
223,-11.562,86.3207,2025-01-03,b'0639                            ',8.735042,6.553,6.221867,34.70563,35.072,1503.23
226,-49.91259,83.18091,2025-01-03,b'8724                            ',3.5865543,2.8200002,1.615125,34.455738,34.7416,2003.04
228,-56.1539435,102.52816916666667,2025-01-03,b'P53435-21AU001                  ',1.8017237,1.9755,0.67705387,34.460064,34.7342,1971.9
229,-40.35541833333333,72.53991,2025-01-03,b'AI2600-20FR003                  ',7.725847,8.2355,3.6091645,34.62688,34.948,2017.9
230,-23.552,87.9504,2025-01-03,b'10218                           ',12.582628,10.947,5.7979846,35.00803,35.806,1998.55
231,-58.281353333333335,69.64392666666667,2025-01-03,b'AI2600-20DE037                  ',1.6835349,1.8245,0.478366,34.581566,34.743,1981.9
232,-40.23893,60.25417,2025-01-03,b'f09234                          ',6.203685,4.261,4.0667014,34.63972,35.38466,1996.02
233,-45.653933333333335,117.98969666666666,2025-01-03,b'AI2600-18DE012                  ',6.8348107,7.176,3.2944279,34.56758,34.727,1980.0
234,-46.59829166666667,44.83734666666667,2025-01-03,b'AI2600-20DE023                  ',3.4829412,2.828,1.3729156,34.38999,34.74,2016.6
235,-13.213438333333333,86.91940666666666,2025-01-03,b'AI2600-22AU008                  ',7.575434,5.388,6.148247,34.717785,35.211,2025.5
236,-65.98214721679688,59.52455139160156,2025-01-03,b'9757                            ',0.4148404,0.4745,0.6545605,34.638237,34.7145,1998.17
237,-47.96987,62.305148333333335,2025-01-03,b'AI2600-20DE034                  ',2.8019652,2.562,0.86431897,34.44931,34.748,1972.5
238,-59.482,97.773,2025-01-03,b'0913                            ',1.3137788,1.38,0.50721765,34.653473,34.739,2001.01
241,-13.5708,47.4481,2025-01-03,b'1452                            ',13.039162,10.839,6.830532,34.892178,35.23814,1748.33
244,-43.036,123.036,2025-01-03,b'8718                            ',9.062227,9.298,1.9688708,34.623142,34.81463,1998.41
245,-23.2882,40.1667,2025-01-03,b'0900                            ',8.431522,5.788,5.9968944,34.558273,35.288,1993.98
246,-50.544,136.649,2025-01-03,b'8342                            ',5.3072634,5.483,1.6278299,34.26535,34.73177,1996.66
247,-68.05978393554688,77.26216125488281,2025-01-03,b'9755                            ',-1.7030832,-1.8624,0.43048394,34.484016,34.5656,466.92
248,-39.062783333333336,132.49621666666667,2025-01-03,b'AI2600-23AU114                  ',6.441904,4.931,4.0168576,34.665672,35.396,1977.4
249,-29.75,49.6318,2025-01-03,b'9791                            ',12.754551,12.562,4.11089,35.10973,35.65799,1499.49
250,0.920753,78.032242,2025-01-03,b'451500                          ',8.285478,6.9454,5.7302155,34.9396,35.25583,1993.91
251,-14.36304,78.40282,2025-01-04,b'AI2600-22AU019                  ',7.9667273,5.8445,6.0658846,34.743294,35.15167,1975.4
253,13.3689,67.3516,2025-01-04,b'1486                            ',13.21222,11.66,5.2525573,35.543636,36.67,1949.12
255,-36.9586,54.0496,2025-01-04,b'9202                            ',11.130728,11.5853,3.547699,34.980076,35.5493,1995.98
256,-28.874,64.928,2025-01-04,b'8376                            ',12.261774,11.6245,4.7108417,35.04678,35.73612,1949.68
257,-39.57238666666667,67.47475166666666,2025-01-04,b'AI2600-23AU124                  ',7.507937,5.962,4.3952513,34.741272,35.37657,2002.7
258,-49.31731833333333,43.972405,2025-01-04,b'AI2600-19DE010                  ',3.3227394,2.703,1.228981,34.337563,34.764,1976.5
259,-60.980005,128.12013833333333,2025-01-04,b'AI2600-18DE009                  ',1.6610243,1.8685,0.57930034,34.474564,34.743,2021.7
260,23.963065,63.15671666666667,2025-01-04,b'AI2600-21FR122                  ',12.7513895,11.9725,5.9421053,35.76402,36.756,2021.9
262,-9.361,80.792,2025-01-04,b'44                              ',4.1642737,2.1647,4.83378,39.12072,41.55962,4519.56
264,-55.560406666666665,112.96105166666666,2025-01-04,b'AI2600-18DE011                  ',2.3716123,2.2065,0.8784614,34.442917,34.747,2027.0
265,5.6547,82.4196,2025-01-04,b'0856                            ',9.70929,8.182,6.079759,33.282143,42.175,1948.65
266,-45.2977,63.5267,2025-01-04,b'9198                            ',6.8559,6.1294,3.0260878,34.491253,34.8878,1997.59
267,-51.9114,49.4722,2025-01-04,b'10087                           ',2.8690264,2.6715002,0.4783699,34.28144,34.7385,2000.11
268,-33.26,97.509,2025-01-04,b'0844                            ',6.953931,5.2139997,4.2313294,34.712574,35.569,1982.06
270,-30.8934,53.8441,2025-01-04,b'1212                            ',8.4918375,7.285,5.4397063,34.834213,35.672,1974.17
272,11.922668333333334,46.63117333333334,2025-01-04,b'AI2600-21FR121                  ',13.470181,13.817,5.145467,35.788086,36.331,1940.9
274,-42.621085,44.46521166666667,2025-01-04,b'AI2600-23DE007                  ',4.655241,3.504,2.5024037,34.31016,34.76,2012.8
277,-58.74108,114.009,2025-01-04,b'8880                            ',1.8972903,1.915,0.44793802,34.587418,34.73526,2005.64
278,-36.3643,119.0025,2025-01-04,b'1086                            ',7.8874955,7.8405,4.122945,34.702034,35.626,2000.82
279,-25.2307,67.62,2025-01-04,b'10079                           ',13.08359,11.787001,5.4232078,35.06376,35.671,1999.95
280,-7.983333333333333,73.93333333333334,2025-01-04,b'23030                           ',11.199885,7.201,9.054492,34.718548,35.242,2034.8
281,-7.583333333333333,69.73333333333333,2025-01-04,b'23032                           ',10.768417,7.082,8.608424,34.70798,35.04294,2014.7
284,8.616666666666667,89.96666666666667,2025-01-04,b'23011                           ',12.304427,8.288,9.376681,34.774933,35.049,2009.1
285,7.616666666666667,91.4,2025-01-04,b'23009                           ',12.04463,7.985,9.3589325,34.759792,35.061,2015.5
286,22.333333333333332,65.78333333333333,2025-01-04,b'23019                           ',13.3616085,11.313,7.673256,35.72615,36.609,1961.9
288,-1.05,97.815,2025-01-04,b'P32800-19CH025                  ',12.380765,7.9895,9.835485,34.678913,35.13801,1978.2
289,4.0364,65.3151,2025-01-04,b'1494                            ',8.66775,7.533,5.271882,35.066776,36.048,1959.79
290,-1.171,89.171,2025-01-04,b'P32800-19CH028                  ',12.150159,8.158,9.592833,34.89205,35.18927,1984.8
291,-22.462175,79.68891,2025-01-04,b'P43244-24DE001                  ',12.725791,11.854,7.018753,35.090252,35.749,1964.3
293,-40.93313,129.72778,2025-01-04,b'8897                            ',6.1110206,5.123,3.3338895,34.581135,34.84319,2002.04
294,-24.7704,107.7029,2025-01-04,b'9788                            ',11.411226,9.851,5.7656236,34.96757,35.80761,1598.73
295,-38.85892,93.09446,2025-01-04,b'8881                            ',7.1439376,6.377,3.862778,34.643238,35.1035,2002.0
296,-33.1759,65.4269,2025-01-04,b'0930                            ',7.8691254,6.296,4.918569,34.786026,35.614,2000.22
297,23.067231666666668,59.29137,2025-01-04,b'AI2600-21FR123                  ',14.340208,13.094,6.0022135,35.901844,36.848,1446.3
